rank,Movie Title,Worldwide,Domestic,dom %,Foreign,For %
81,Sisu,$13009168,$7265622,55.9%,$5743546,44.1%
82,Manta, Manta - Zwoter Teil,$13000848,-,-,$13000848,100%
83,Epic Tails,$12748201,-,-,$12748201,100%
84,Love Again,$12696584,$6230837,49.1%,$6465747,50.9%
85,His Only Son,$12238839,$12084084,98.7%,$154755,1.3%
86,The Last Voyage of the Demeter,$11811310,$11365795,96.2%,$445515,3.8%
87,Face Off 6: The Ticket of Destiny,$11538081,-,-,$11538081,100%
88,Beau Is Afraid,$11480099,$8176562,71.2%,$3303537,28.8%
89,Concrete Utopia,$11287321,-,-,$11287321,100%
90,What's Love Got to Do with It?,$11108409,-,-,$11108409,100%
91,Samurai Beyond Admiration Record to the World's Best,$10876188,-,-,$10876188,100%
92,Past Lives,$10783333,$10678131,99%,$105202,1%
93,The Machine,$10664328,$10458331,98.1%,$205997,1.9%
94,Strays,$10202810,$8247810,80.8%,$1955000,19.2%
95,Sun and Concrete,$10119958,-,-,$10119958,100%
96,The Crime Is Mine,$10024789,-,-,$10024789,100%
97,Hypnotic,$9464308,$4500169,47.5%,$4964139,52.5%
98,House Party,$9284647,$9002247,97%,$282400,3%
99,Kandahar,$9029197,$4813132,53.3%,$4216065,46.7%
100,All Your Faces,$8969128,-,-,$8969128,100%
101,The Wandering Earth II,$8850805,$5023132,56.8%,$3827673,43.2%
102,Jeanne du Barry,$8744301,-,-,$8744301,100%
103,Father & Soldier,$8588159,-,-,$8588159,100%
104,Dream,$8317251,-,-,$8317251,100%
105,Sur les chemins noirs,$7964795,-,-,$7964795,100%
106,Shin Jigen! Crayon Shin-chan the Movie,$7536308,-,-,$7536308,100%
107,Vacaciones de verano,$7513969,-,-,$7513969,100%
108,Eiga 'Ichikei no karasu',$7377092,-,-,$7377092,100%
109,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,$7259924,$7259924,100%,-,-
110,Ransomed,$7172395,$103065,1.4%,$7069330,98.6%
111,Pravednik,$7106593,-,-,$7106593,100%
112,Les petites victoires,$7056157,-,-,$7056157,100%
113,Knights of the Zodiac,$6951086,$1090155,15.7%,$5860931,84.3%
114,Cats in the Museum,$6949425,-,-,$6949425,100%
115,Beautiful Disaster,$6850036,-,-,$6850036,100%
116,Rafadan Tayfa Galaktik Tayfa,$6302037,-,-,$6302037,100%
117,Kishibe Rohan Rûvuru e iku,$6292792,-,-,$6292792,100%
118,Off the Rails,$6281428,-,-,$6281428,100%
119,Marlowe,$6276005,$4350243,69.3%,$1925762,30.7%
120,A Brighter Tomorrow,$6137388,-,-,$6137388,100%
121,Mafia Mamma,$6120609,$3496761,57.1%,$2623848,42.9%
122,Life for Real,$6102262,-,-,$6102262,100%
123,And Yet, You Are So Sweet,$6099393,-,-,$6099393,100%
124,Big George Foreman,$6031202,$5426772,90%,$604430,10%
125,The Childe,$5934764,$102021,1.7%,$5832743,98.3%
126,The Devil's Deal,$5702702,-,-,$5702702,100%
127,You Hurt My Feelings,$5697465,$4830788,84.8%,$866677,15.2%
